"C","Real-Time Five-Minute System Load Report"
"C","Filename: rt_fiveminsysload_20190423.csv"
"C","Report for: 04/23/2019 - 04/23/2019"
"C","Report generated: 04/29/2019 16:59:28 EDT"
"H","Date/Time","Total Load","Native Load","Asset Related Load"
"H","Date/Time","MW","MW","MW"
"D","04/23/2019 00:00:00",10192.113,9902.113,290
"D","04/23/2019 00:05:00",10158.178,9868.178,290
"D","04/23/2019 00:10:00",10099.888,9809.888,290
"D","04/23/2019 00:15:00",10065.396,9774.896,290.5
"D","04/23/2019 00:20:00",10027.75,9737.25,290.5
"D","04/23/2019 00:25:00",9969.434,9679.934,289.5
"D","04/23/2019 00:30:00",10198.834,9651.934,546.9
"D","04/23/2019 00:35:00",10166.305,9617.805,548.5
"D","04/23/2019 00:40:00",10098.393,9550.693,547.7
"D","04/23/2019 00:45:00",10076.549,9527.949,548.6
"D","04/23/2019 00:50:00",10045.719,9496.419,549.3
"D","04/23/2019 00:55:00",9994.885,9446.785,548.1
"D","04/23/2019 01:00:00",9953.512,9405.812,547.7
"D","04/23/2019 01:05:00",9941.972,9394.872,547.1
"D","04/23/2019 01:10:00",9887.624,9339.824,547.8
"D","04/23/2019 01:15:00",9869.079,9323.879,545.2
"D","04/23/2019 01:20:00",9840.163,9292.163,548
"D","04/23/2019 01:25:00",9816.182,9267.582,548.6
"D","04/23/2019 01:30:00",9811.569,9264.269,547.3
"D","04/23/2019 01:35:00",9770.794,9222.394,548.4
"D","04/23/2019 01:40:00",9746.033,9198.033,548
"D","04/23/2019 01:45:00",9724.555,9177.455,547.1
"D","04/23/2019 01:50:00",9716.16,9168.56,547.6
"D","04/23/2019 01:55:00",9682.504,9136.804,545.7
"D","04/23/2019 02:00:00",9668.855,9121.755,547.1
"D","04/23/2019 02:05:00",9673.703,9127.203,546.5
"D","04/23/2019 02:10:00",9670.617,9123.417,547.2
"D","04/23/2019 02:15:00",9666.188,9117.988,548.2
"D","04/23/2019 02:20:00",9619.434,9073.634,545.8
"D","04/23/2019 02:25:00",9627.565,9081.765,545.8
"D","04/23/2019 02:30:00",9603.04,9056.74,546.3
"D","04/23/2019 02:35:00",9589.354,9044.154,545.2
"D","04/23/2019 02:40:00",9574.991,9030.691,544.3
"D","04/23/2019 02:45:00",9566.006,9022.206,543.8
"D","04/23/2019 02:50:00",9567.198,9021.798,545.4
"D","04/23/2019 02:55:00",9585.727,9040.827,544.9
"D","04/23/2019 03:00:00",9595.84,9049.84,546
"D","04/23/2019 03:05:00",9592.909,9048.109,544.8
"D","04/23/2019 03:10:00",9837.877,9031.077,806.8
"D","04/23/2019 03:15:00",9856.166,9049.066,807.1
"D","04/23/2019 03:20:00",9843.486,9037.886,805.6
"D","04/23/2019 03:25:00",9857.967,9051.267,806.7
"D","04/23/2019 03:30:00",9855.631,9049.231,806.4
"D","04/23/2019 03:35:00",9859.172,9051.772,807.4
"D","04/23/2019 03:40:00",9866.224,9061.924,804.3
"D","04/23/2019 03:45:00",9873.059,9066.459,806.6
"D","04/23/2019 03:50:00",9893.535,9087.935,805.6
"D","04/23/2019 03:55:00",9921.04,9116.44,804.6
"D","04/23/2019 04:00:00",9963.852,9157.252,806.6
"D","04/23/2019 04:05:00",10012.778,9207.778,805
"D","04/23/2019 04:10:00",10015.871,9211.671,804.2
"D","04/23/2019 04:15:00",10059.643,9254.843,804.8
"D","04/23/2019 04:20:00",10080.208,9277.108,803.1
"D","04/23/2019 04:25:00",10078.565,9275.865,802.7
"D","04/23/2019 04:30:00",10133.189,9331.589,801.6
"D","04/23/2019 04:35:00",10178.308,9374.008,804.3
"D","04/23/2019 04:40:00",10209.842,9406.842,803
"D","04/23/2019 04:45:00",10262.896,9460.496,802.4
"D","04/23/2019 04:50:00",10064.847,9514.147,550.7
"D","04/23/2019 04:55:00",10125.152,9577.352,547.8
"D","04/23/2019 05:00:00",10233.408,9686.508,546.9
"D","04/23/2019 05:05:00",10384.799,9838.499,546.3
"D","04/23/2019 05:10:00",10474.534,9928.034,546.5
"D","04/23/2019 05:15:00",10546.863,10001.063,545.8
"D","04/23/2019 05:20:00",10610.396,10064.596,545.8
"D","04/23/2019 05:25:00",10419.778,10155.778,264
"D","04/23/2019 05:30:00",10508.52,10245.22,263.3
"D","04/23/2019 05:35:00",10636.389,10373.489,262.9
